1;Москва, ул. Красная Пресня, д. 23, к. Б, стр. 1 
2;Москва, пр-т Мира, д. 91, к. 1 
3;Москва, ул. Обручева, д. 34/63 
4;Москва, Садовая-Спасская ул., д. 3, стр. 3 
5;Москва, Славянский б-р, д. 13, стр. 1 
6;Москва, Алтуфьевское ш., д. 70, к. 1, TЦ «Маркос Молл» 
7;Красногорский р-н, автодорога «Балтия», 23 км, вл. 2, д. 1, ТЦ «Рига Молл» 
8;Балашиха, ш. Энтузиастов, д. 36A, ТЦ «Вертикаль» 
9;Балашиха, мкрн.Железнодорожный, ул.Советская, д.9, ТЦ «Эдельвейс» 
10;Г. о. Электросталь, пос. Случайный, Массив 1, стр. 2 
